Frame: 128, Page: 1024, Strategy: Aging, Modify Pct: 0%, Period: 2, Line: 50000, Page fault: 42395, Time: 0.225624
Frame: 128, Page: 1024, Strategy: Clock, Modify Pct: 0%, Period: 2, Line: 50000, Page fault: 42120, Time: 0.033439
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 0%, Period: 2, Line: 50000, Page fault: 42308, Time: 0.03342
Frame: 128, Page: 1024, Strategy: WsClock, Modify Pct: 0%, Period: 2, Line: 50000, Page fault: 41733, Time: 0.058478
Frame: 128, Page: 1024, Strategy: Aging, Modify Pct: 0%, Period: 4, Line: 50000, Page fault: 40488, Time: 0.200318
Frame: 128, Page: 1024, Strategy: Clock, Modify Pct: 0%, Period: 4, Line: 50000, Page fault: 42122, Time: 0.024174
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 0%, Period: 4, Line: 50000, Page fault: 42327, Time: 0.025077
Frame: 128, Page: 1024, Strategy: WsClock, Modify Pct: 0%, Period: 4, Line: 50000, Page fault: 41733, Time: 0.050574
Frame: 128, Page: 1024, Strategy: Aging, Modify Pct: 0%, Period: 8, Line: 50000, Page fault: 40822, Time: 0.181244
Frame: 128, Page: 1024, Strategy: Clock, Modify Pct: 0%, Period: 8, Line: 50000, Page fault: 42123, Time: 0.019536
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 0%, Period: 8, Line: 50000, Page fault: 42324, Time: 0.023784
Frame: 128, Page: 1024, Strategy: WsClock, Modify Pct: 0%, Period: 8, Line: 50000, Page fault: 41733, Time: 0.044308
Frame: 128, Page: 1024, Strategy: Aging, Modify Pct: 0%, Period: 16, Line: 50000, Page fault: 40824, Time: 0.159277
Frame: 128, Page: 1024, Strategy: Clock, Modify Pct: 0%, Period: 16, Line: 50000, Page fault: 42123, Time: 0.016923
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 0%, Period: 16, Line: 50000, Page fault: 42291, Time: 0.021206
Frame: 128, Page: 1024, Strategy: WsClock, Modify Pct: 0%, Period: 16, Line: 50000, Page fault: 41733, Time: 0.041461
Frame: 128, Page: 1024, Strategy: Aging, Modify Pct: 0%, Period: 32, Line: 50000, Page fault: 41012, Time: 0.152638
Frame: 128, Page: 1024, Strategy: Clock, Modify Pct: 0%, Period: 32, Line: 50000, Page fault: 42055, Time: 0.01579
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 0%, Period: 32, Line: 50000, Page fault: 42346, Time: 0.024281
Frame: 128, Page: 1024, Strategy: WsClock, Modify Pct: 0%, Period: 32, Line: 50000, Page fault: 41733, Time: 0.040107
Frame: 128, Page: 1024, Strategy: Aging, Modify Pct: 0%, Period: 64, Line: 50000, Page fault: 40812, Time: 0.149377
Frame: 128, Page: 1024, Strategy: Clock, Modify Pct: 0%, Period: 64, Line: 50000, Page fault: 41628, Time: 0.015204
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 0%, Period: 64, Line: 50000, Page fault: 42390, Time: 0.032993
Frame: 128, Page: 1024, Strategy: WsClock, Modify Pct: 0%, Period: 64, Line: 50000, Page fault: 41492, Time: 0.039362
Frame: 128, Page: 1024, Strategy: Aging, Modify Pct: 0%, Period: 128, Line: 50000, Page fault: 40220, Time: 0.144979
Frame: 128, Page: 1024, Strategy: Clock, Modify Pct: 0%, Period: 128, Line: 50000, Page fault: 41222, Time: 0.014906
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 0%, Period: 128, Line: 50000, Page fault: 40682, Time: 0.047533
Frame: 128, Page: 1024, Strategy: WsClock, Modify Pct: 0%, Period: 128, Line: 50000, Page fault: 41100, Time: 0.038778
Frame: 128, Page: 1024, Strategy: Aging, Modify Pct: 0%, Period: 256, Line: 50000, Page fault: 38848, Time: 0.138727
Frame: 128, Page: 1024, Strategy: Clock, Modify Pct: 0%, Period: 256, Line: 50000, Page fault: 41560, Time: 0.015109
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 0%, Period: 256, Line: 50000, Page fault: 43814, Time: 0.073041
Frame: 128, Page: 1024, Strategy: WsClock, Modify Pct: 0%, Period: 256, Line: 50000, Page fault: 41509, Time: 0.03899
